product_id,period_t,ending_stock,stockout
P25,4,68.005874,0.0
P26,1,181.78581,0.0
P26,2,203.26199,0.0
P26,3,35.78053,0.0
P26,4,35.78053,0.0
P27,1,471.42169,0.0
P27,2,932.2261,0.0
P27,3,540.53199,0.0
P27,4,147.01922,0.0
P28,1,329.85788,0.0
P28,2,693.10253,0.0
P28,3,380.42631,0.0
P28,4,61.374109,0.0
P29,1,632.82042,0.0
P29,2,1567.6496,0.0
P29,3,864.90349,0.0
P29,4,130.11381,0.0
P30,1,819.12125,0.0
P30,2,3475.2473,0.0
P30,3,1959.2893,0.0
P30,4,382.9592,0.0
P31,1,811.5388,0.0
P31,2,2507.2513,0.0
P31,3,1372.6257,0.0
P31,4,190.26635,0.0
P32,1,763.3278,0.0
P32,2,1587.7877,0.0
P32,3,909.88572,0.0
P32,4,201.73973,0.0
P33,1,451.56822,0.0
P33,2,796.45134,0.0
P33,3,444.2022,0.0
P33,4,105.49495,0.0
P34,1,439.81467,0.0
P34,2,1809.0708,0.0
P34,3,995.83945,0.0
P34,4,137.33229,0.0
P35,1,608.23309,0.0
P35,2,1991.3077,0.0
P35,3,1138.7508,0.0
P35,4,225.48444,0.0
P36,1,379.3531,0.0
P36,2,1496.8376,0.0
P36,3,850.08075,0.0
P36,4,168.02704,0.0
P37,1,171.34831,0.0
P37,2,78.705846,0.0
P37,3,156.41433,0.0
P37,4,49.053578,0.0
P38,1,254.79871,0.0
P38,2,260.80295,0.0
P38,3,52.231368,0.0
P38,4,52.231368,0.0
P39,1,169.84515,0.0
P39,2,188.47957,0.0
P39,3,61.085727,0.0
P39,4,61.085727,0.0
P40,1,464.92309,0.0
P40,2,831.92306,0.0
P40,3,468.41512,0.0
P40,4,110.07365,0.0
P41,1,119.74522,0.0
P41,2,423.45513,0.0
P41,3,243.79565,0.0
P41,4,55.57603,0.0
P42,1,62.859853,0.0
P42,2,156.44927,0.0
P42,3,95.44627,0.0
P42,4,32.197697,0.0
P43,1,1219.1511,0.0
P43,2,3217.1309,0.0
P43,3,1903.0906,0.0
P43,4,538.42556,0.0
P44,1,1002.0324,0.0
P44,2,177.25074,0.0
P44,3,1091.4856,0.0
P44,4,154.66256,0.0
P45,1,1009.6527,0.0
P45,2,534.36124,0.0
P45,3,56.938314,0.0
P45,4,59.155808,0.0
P46,1,591.03719,0.0
P46,2,330.39296,0.0
P46,3,347.53008,0.0
P46,4,81.730239,0.0
P47,1,513.4773,0.0
P47,2,260.37422,0.0
P47,3,310.4122,0.0
P47,4,52.181099,0.0
P48,1,402.47909,0.0
P48,2,117.8427,0.0
P48,3,384.33406,0.0
P48,4,87.263203,0.0
P49,1,557.75222,0.0
P49,2,352.74837,0.0
P49,3,148.51134,0.0
P49,4,49.520726,0.0
